Class of admission,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Other foreign government officials or employees and their families (A2),164896.00,179956.00,183104.00,181761.00,180796.00,184669.00,178591.00,83301.00,65441.00,134596.00
"Attendants, servants, or personal employees of A1 and A2 and their families (A3)",1381.00,1642.00,1449.00,1307.00,1406.00,1178.00,1055.00,398.00,598.00,810.00
Principals of recognized foreign governments (G1),15254.00,15274.00,15947.00,16575.00,16824.00,17332.00,17400.00,9581.00,9059.00,13802.00
Other representatives of recognized foreign governments (G2),16011.00,19346.00,21481.00,20215.00,21578.00,22036.00,21414.00,7380.00,2797.00,12714.00
Representatives of nonrecognized or nonmember foreign governments (G3),864.00,804.00,943.00,1017.00,1048.00,1079.00,1099.00,463.00,365.00,931.00
International organization officers or employees (G4),108478.00,116363.00,121890.00,125565.00,130056.00,132853.00,136296.00,65216.00,38400.00,84592.00
"Attendants, servants, or personal employees of representatives (G5)",1137.00,1116.00,1093.00,1060.00,1006.00,972.00,791.00,299.00,139.00,385.00
"North Atlantic Treaty Organization (NATO) officials, spouses, and children (N1 to N7)",30761.00,47404.00,52160.00,52986.00,55284.00,53765.00,55417.00,29505.00,22602.00,49214.00
Temporary visitors for pleasure,48346018.00,59784922.00,61017237.00,61029117.00,61600219.00,64819854.00,64864687.00,28731613.00,9055378.00,34945932.00
Temporary visitors for pleasure (B2),29915467.00,40457847.00,41671997.00,41045833.00,41117760.00,44054664.00,43968625.00,20175009.00,8169825.00,24516995.00
Visa Waiver Program – temporary visitors for pleasure (WT),17168958.00,18161646.00,18138442.00,18698451.00,19161211.00,19591879.00,19745020.00,7991484.00,883556.00,10298435.00
Guam Visa Waiver Program – temporary visitors for pleasure to Guam (GT),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guam - Commonwealth of Northern Mariana Islands (CNMI) Visa Waiver Program - temporary visitors for pleasure to Guam or Northern Mariana Islands (GMT),1261593.00,1165429.00,1206798.00,1284833.00,1321248.00,1173311.00,1151042.00,565120.00,1997.00,130502.00
Temporary visitors for business,6299533.00,7734191.00,8008659.00,8290712.00,8456038.00,8967224.00,9059770.00,4209153.00,1346208.00,4234792.00
Temporary visitors for business (B1),3498688.00,4755509.00,4933958.00,5156708.00,5301451.00,5725099.00,5853592.00,2825830.00,1223567.00,3037742.00
Visa Waiver Program – temporary visitors for business (WB),2798130.00,2976445.00,3070226.00,3129890.00,3152656.00,3239672.00,3203078.00,1381838.00,122576.00,1196519.00
Guam Visa Waiver Program – temporary visitors for business to Guam (GB),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guam - Commonwealth of Northern Mariana Islands (CNMI) Visa Waiver Program - temporary visitors for business to Guam or Northern Mariana Islands (GMB),2715.00,2237.00,4475.00,4114.00,1931.00,2453.00,3100.00,1485.00,65.00,531.00
Transit individuals,628711.00,1004916.00,689990.00,635087.00,498272.00,453723.00,462914.00,252201.00,211283.00,447494.00
Foreign nationals in continuous and immediate transit through the United States (C1),608396.00,987546.00,672420.00,618997.00,483076.00,441276.00,449524.00,245463.00,207307.00,440444.00
Foreign nationals in transit to the United Nations (C2),2269.00,638.00,524.00,483.00,357.00,169.00,740.00,595.00,132.00,189.00
"Foreign government officials, their spouses, children, and attendants in transit (C3)",18046.00,16732.00,17046.00,15607.00,14839.00,12278.00,12650.00,6143.00,3844.00,6861.00
Transit without visa (C4),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Commuter students,105263.00,109833.00,100495.00,67527.00,35297.00,18917.00,8787.00,2753.00,514.00,999.00
Canadian or Mexican national academic commuter students (F3),105263.00,109833.00,100495.00,67527.00,35297.00,18917.00,8787.00,2753.00,514.00,999.00
Canadian or Mexican national vocational commuter students (M3),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Noncitizen fiance(e)s of U.S. citizens and children,29773.00,41778.00,35266.00,44390.00,40878.00,29077.00,39554.00,22708.00,18974.00,25679.00
Fiance(e)s of U.S. citizens (K1),26046.00,36680.00,30942.00,38672.00,35546.00,25072.00,34581.00,19957.00,16643.00,22255.00
Children of K1 (K2),3727.00,5098.00,4324.00,5718.00,5332.00,4005.00,4973.00,2751.00,2331.00,3424.00
Other,3101.00,2347.00,1701.00,1302.00,767.00,581.00,216.00,53.00,32.00,67.00
"Spouses of U.S. citizens, visa pending (K3)",1262.00,1004.00,644.00,437.00,98.00,47.00,25.00,9.00,0.00,8.00
"Children of U.S. citizens, visa pending (K4)",417.00,336.00,99.00,94.00,52.00,16.00,9.00,7.00,0.00,D
Irish Peace Process Cultural and Training Program participants (Q2),9.00,6.00,5.00,4.00,6.00,10.00,0.00,0.00,0.00,0.00
Spouses and children of Q2 (Q3),7.00,D,5.00,15.00,7.00,4.00,6.00,D,0.00,D
Parents of international organization special immigrants (N8),61.00,62.00,61.00,64.00,43.00,42.00,63.00,28.00,27.00,49.00
Children of N8 or international organization special immigrants (N9),10.00,D,3.00,7.00,7.00,3.00,6.00,D,D,7.00
"Victims of a severe form of trafficking and spouses, children, parents, and siblings (T1 - T5)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Persons suffering physical or mental abuse as victims of criminal activity and spouses, children, and parents (U1 - U4)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Spouses of permanent residents, visa pending (V1)",867.00,647.00,563.00,237.00,200.00,224.00,35.00,D,D,0.00
"Children of permanent residents, visa pending (V2)",271.00,252.00,307.00,431.00,348.00,226.00,65.00,5.00,0.00,0.00
"Dependents of V1 or V2, visa pending (V3)",197.00,36.00,14.00,13.00,6.00,9.00,7.00,0.00,0.00,0.00
Unknown,107626.00,37090.00,56860.00,86311.00,57707.00,43925.00,38738.00,20998.00,12355.00,37791.00
